open,high,low,close,5. volume,market cap
0.07180000,0.07210000,0.07160000,0.07190000,163385.00000000,163385.00000000
0.07090000,0.07250000,0.06940000,0.07170000,6952432.00000000,6952432.00000000
0.07020000,0.07170000,0.06920000,0.07080000,7024021.00000000,7024021.00000000
0.06840000,0.07070000,0.06730000,0.07030000,12219456.00000000,12219456.00000000
0.06870000,0.07030000,0.06530000,0.06850000,19290704.00000000,19290704.00000000
0.06720000,0.07270000,0.06670000,0.06870000,13585279.00000000,13585279.00000000
0.06790000,0.07050000,0.06690000,0.06740000,6724163.00000000,6724163.00000000
0.06960000,0.07050000,0.06800000,0.06800000,5874766.00000000,5874766.00000000
0.06790000,0.07030000,0.06620000,0.06960000,6580534.00000000,6580534.00000000
0.07090000,0.07120000,0.06680000,0.06800000,9440915.00000000,9440915.00000000
0.06840000,0.07600000,0.06820000,0.07100000,16430260.00000000,16430260.00000000
0.06590000,0.07100000,0.06520000,0.06830000,13293907.00000000,13293907.00000000
0.06770000,0.07650000,0.06470000,0.06580000,35542523.00000000,35542523.00000000
0.06910000,0.06960000,0.06580000,0.06760000,7634425.00000000,7634425.00000000
0.06740000,0.07700000,0.06640000,0.06900000,17271813.00000000,17271813.00000000
0.07210000,0.08140000,0.06620000,0.06730000,25869115.00000000,25869115.00000000
0.07530000,0.07600000,0.07070000,0.07210000,5783127.00000000,5783127.00000000
0.07420000,0.07690000,0.07300000,0.07550000,6663334.00000000,6663334.00000000
0.07340000,0.07570000,0.07180000,0.07440000,8215384.00000000,8215384.00000000
0.06710000,0.07400000,0.06670000,0.07330000,7377860.00000000,7377860.00000000
0.06860000,0.07090000,0.06640000,0.06720000,7193701.00000000,7193701.00000000
0.06900000,0.07800000,0.06820000,0.06850000,18104472.00000000,18104472.00000000
0.06500000,0.06990000,0.06480000,0.06900000,6594067.00000000,6594067.00000000
0.06950000,0.06970000,0.05850000,0.06500000,15743047.00000000,15743047.00000000
0.07190000,0.07450000,0.06910000,0.06970000,4810570.00000000,4810570.00000000
0.06930000,0.07230000,0.06600000,0.07170000,7015287.00000000,7015287.00000000
0.07280000,0.07700000,0.06910000,0.06910000,7479911.00000000,7479911.00000000
0.07820000,0.07830000,0.07070000,0.07260000,6694863.00000000,6694863.00000000
0.07930000,0.08220000,0.07670000,0.07830000,8922694.00000000,8922694.00000000
0.08510000,0.08820000,0.07870000,0.07920000,40692787.00000000,40692787.00000000
0.08540000,0.10260000,0.08240000,0.08510000,95532250.00000000,95532250.00000000
0.08730000,0.08740000,0.08300000,0.08510000,3852540.00000000,3852540.00000000
0.08220000,0.08950000,0.08190000,0.08710000,7083655.00000000,7083655.00000000
0.08360000,0.08400000,0.08010000,0.08200000,6819274.00000000,6819274.00000000
0.08570000,0.08990000,0.08320000,0.08370000,7081914.00000000,7081914.00000000
0.08720000,0.08980000,0.08290000,0.08550000,8137987.00000000,8137987.00000000
0.09180000,0.09810000,0.08580000,0.08710000,25657390.00000000,25657390.00000000
0.09440000,0.09650000,0.08850000,0.09180000,9609852.00000000,9609852.00000000
0.09230000,0.09750000,0.09010000,0.09450000,8156173.00000000,8156173.00000000
0.09480000,0.09710000,0.08930000,0.09250000,12571432.00000000,12571432.00000000
0.08960000,0.09840000,0.08680000,0.09480000,22127058.00000000,22127058.00000000
0.08660000,0.09180000,0.08650000,0.08950000,10154111.00000000,10154111.00000000
0.08640000,0.08940000,0.08520000,0.08680000,6867498.00000000,6867498.00000000
0.08120000,0.08790000,0.08010000,0.08650000,7905055.00000000,7905055.00000000
0.07950000,0.08280000,0.07760000,0.08110000,8971821.00000000,8971821.00000000
0.08230000,0.08430000,0.07820000,0.07940000,15085339.00000000,15085339.00000000
0.08120000,0.08550000,0.08040000,0.08230000,8718290.00000000,8718290.00000000
0.08010000,0.08500000,0.07670000,0.08160000,11438709.00000000,11438709.00000000
0.08200000,0.08830000,0.07850000,0.07980000,19285332.00000000,19285332.00000000
0.08120000,0.08380000,0.07990000,0.08180000,3860784.00000000,3860784.00000000
0.07940000,0.08150000,0.07770000,0.08120000,5146943.00000000,5146943.00000000
0.07970000,0.08630000,0.07570000,0.07930000,18798919.00000000,18798919.00000000
0.07980000,0.08540000,0.07770000,0.07950000,7632457.00000000,7632457.00000000
0.07570000,0.08700000,0.07410000,0.07990000,33837516.00000000,33837516.00000000
0.07780000,0.07780000,0.06580000,0.07590000,14997489.00000000,14997489.00000000
0.07310000,0.08700000,0.07260000,0.07780000,30662216.00000000,30662216.00000000
0.08310000,0.08430000,0.06680000,0.07310000,20000187.90000000,20000187.90000000
0.10020000,0.10070000,0.08060000,0.08310000,15636973.60000000,15636973.60000000
0.10100000,0.11090000,0.10000000,0.10000000,14504092.20000000,14504092.20000000
0.10460000,0.10520000,0.10080000,0.10090000,3639758.00000000,3639758.00000000
0.10630000,0.10730000,0.10320000,0.10490000,3459183.00000000,3459183.00000000
0.11270000,0.11270000,0.10490000,0.10620000,6604602.00000000,6604602.00000000
0.11380000,0.11390000,0.11170000,0.11250000,2270797.00000000,2270797.00000000
0.11290000,0.11740000,0.11170000,0.11370000,3907258.00000000,3907258.00000000
0.10880000,0.11950000,0.10840000,0.11280000,8352941.00000000,8352941.00000000
0.11460000,0.11600000,0.10880000,0.10920000,6899649.00000000,6899649.00000000
0.11070000,0.11660000,0.10990000,0.11460000,4621121.00000000,4621121.00000000
0.10770000,0.11360000,0.10630000,0.11060000,4846500.00000000,4846500.00000000
