,time,open,close,high,low,volume
0,2020-01-02,7212.395985,6989.4,7225.8,6963.0,4849.33844669
1,2020-01-03,6989.4,7371.2,7444.9,6909.3,6681.66874052
2,2020-01-04,7371.1,7369.83176114,7422.0,7297.3,4265.71285464
3,2020-01-05,7370.3,7364.6,7509.9,7315.8,4450.63547483
4,2020-01-06,7363.9,7757.9,7785.0,7358.0,8541.27969512
5,2020-01-07,7759.5,8154.1,8210.3,7741.9,12355.97377472
6,2020-01-08,8158.3,8036.8,8442.0,7877.6,11756.80045611
7,2020-01-09,8036.8,7817.4514653,8036.8,7756.0,4671.29012564
8,2020-01-10,7817.4,8184.5,8185.9,7675.8,7857.9180030200005
9,2020-01-11,8180.3,8013.7,8282.4,7991.8,4254.51762488
10,2020-01-12,8013.63408437,8174.7,8174.7,7951.7,3207.41767775
11,2020-01-13,8174.6670523,8095.8,8199.7,8053.6,2593.23954615
12,2020-01-14,8095.8,8772.6,8829.0,8095.8,16573.65972765
13,2020-01-15,8771.0,8807.7,8873.0,8560.1,8779.11954403
14,2020-01-16,8807.7,8720.6,8839.9,8579.8,5311.58250504
15,2020-01-17,8719.54720583,8875.4,9000.0,8674.2,9692.87415905
16,2020-01-18,8875.5,8891.6,8965.0,8791.12468089,3460.77284892
17,2020-01-19,8891.5,8698.7,9169.5,8450.0,12407.35672898
18,2020-01-20,8698.7,8638.2,8741.1,8519.6,4105.40575415
19,2020-01-21,8638.2,8734.1,8787.17417425,8500.0,3251.16389954
20,2020-01-22,8734.2,8663.9,8799.9,8580.5,2354.22930226
21,2020-01-23,8663.8,8403.56851721,8670.4,8296.0,5703.90855399
22,2020-01-24,8403.56851721,8447.12967307,8523.0,8246.0,3508.74666982
23,2020-01-25,8447.1,8353.7,8447.2,8280.0,2101.66598957
24,2020-01-26,8353.7,8621.5,8631.6,8301.0,3518.08289784
25,2020-01-27,8621.6,8912.0,9001.86207428,8585.0,6276.878829
26,2020-01-28,8912.0570368,9397.0,9414.0,8911.1,9119.89518062
