,time,open,close,high,low,volume
0,1970-01-01 00:26:17.923200,41.664,39.551,41.832,39.277,36191.42214357
1,1970-01-01 00:26:18.009600,39.55,42.359,42.58,38.963,50164.31219994
2,1970-01-01 00:26:18.096000,42.424,42.928,43.074,41.97,17448.59155524
3,1970-01-01 00:26:18.182400,42.904,43.34,44.72,42.731,28737.31908483
4,1970-01-01 00:26:18.268800,43.356,45.8,46.157,43.227,51265.45023553
5,1970-01-01 00:26:18.355200,45.8,46.331,46.999,44.537,76142.61483977
6,1970-01-01 00:26:18.441600,46.336,45.288,48.601,43.949,90385.80379719
7,1970-01-01 00:26:18.528000,45.299,44.893,45.733,43.824,30939.15682395
8,1970-01-01 00:26:18.614400,44.773,49.011,49.46,43.78,129141.20665495
9,1970-01-01 00:26:18.700800,49.009,49.284,51.761,47.667,92755.16732736
10,1970-01-01 00:26:18.787200,49.32,51.538,51.651,48.783,62227.43098481
11,1970-01-01 00:26:18.873600,51.48,49.673,51.586,48.87,62165.92628205
12,1970-01-01 00:26:18.960000,49.595,58.105,60.479,49.595,258063.73801867
13,1970-01-01 00:26:19.046400,58.094,58.087,60.174,55.248,101645.51884137
14,1970-01-01 00:26:19.132800,58.119,57.687,58.419,54.662,48850.08378483
15,1970-01-01 00:26:19.219200,57.545,60.803,63.174,56.666,107724.84943389
16,1970-01-01 00:26:19.305600,60.79,59.17,62.327,57.811,75382.22452489
17,1970-01-01 00:26:19.392000,59.263,57.693,62.399,55.14,68512.73198557
18,1970-01-01 00:26:19.478400,57.579,57.089,58.28,55.757,24785.92714359
19,1970-01-01 00:26:19.564800,57.163,57.707,58.084,55.73,23877.81194182
20,1970-01-01 00:26:19.651200,57.66,58.198,59.203,57.143,21431.32007602
21,1970-01-01 00:26:19.737600,58.218,54.485,58.236,52.267,62072.10029598
22,1970-01-01 00:26:19.824000,54.497,54.386,55.439,50.742,60924.99427016
23,1970-01-01 00:26:19.910400,54.37,53.221,54.38,52.19,36383.03114953
24,1970-01-01 00:26:19.996800,53.32,56.317,56.779,52.9,25251.72360122
25,1970-01-01 00:26:20.083200,56.317,58.638,59.648,56.0,45731.25688134
26,1970-01-01 00:26:20.169600,58.563,60.668,61.622,57.421,62405.77426389
27,1970-01-01 00:26:20.256000,60.596,59.768,62.5,59.409,48460.78290778
28,1970-01-01 00:26:20.342400,59.757,67.864,70.0,58.315,124220.90743292
29,1970-01-01 00:26:20.428800,67.849,68.102,70.007,65.497,78321.58329456
30,1970-01-01 00:26:20.515200,68.125,70.889,72.94,67.722,68410.45695905
31,1970-01-01 00:26:20.601600,70.866,70.003,73.7,67.716,104818.44696876
32,1970-01-01 00:26:20.688000,70.0,69.82,73.167,68.523,81544.20235183
33,1970-01-01 00:26:20.774400,69.782,68.11,70.582,66.77,40114.88416617
34,1970-01-01 00:26:20.860800,68.111,72.528,73.519,67.727,66767.52936795
35,1970-01-01 00:26:20.947200,72.542,73.421,75.0,71.044,82960.9242105
36,1970-01-01 00:26:21.033600,73.421,74.212,75.357,72.641,40910.16586748
37,1970-01-01 00:26:21.120000,74.212,76.487,77.882,71.5,59465.81754215
38,1970-01-01 00:26:21.206400,76.486,76.888,78.317,75.004,40725.3301272
39,1970-01-01 00:26:21.292800,76.964,74.056,77.267,72.196,53408.61629155
40,1970-01-01 00:26:21.379200,73.939,76.702,77.443,72.633,38405.94724494
41,1970-01-01 00:26:21.465600,76.625,81.042,82.667,76.625,83246.08912873
42,1970-01-01 00:26:21.552000,81.165,80.444,84.193,77.074,121037.92697556
43,1970-01-01 00:26:21.638400,80.443,82.919,83.873,78.413,52784.36725785
44,1970-01-01 00:26:21.724800,83.019,76.72,83.386,75.121,79130.02045679001
45,1970-01-01 00:26:21.811200,76.719,74.8,80.525,67.655,159268.14068978
46,1970-01-01 00:26:21.897600,74.698,73.444,75.531,68.667,50968.75528317
47,1970-01-01 00:26:21.984000,73.469,77.151,79.138,70.287,51041.80488792
48,1970-01-01 00:26:22.070400,77.38,70.634,80.317,67.0,105977.57825478
49,1970-01-01 00:26:22.156800,70.564,69.515,72.402,65.389,91408.70403676
50,1970-01-01 00:26:22.243200,69.463,73.266,75.249,68.654,71051.90142873
51,1970-01-01 00:26:22.329600,73.361,74.853,76.766,72.424,66755.26529202
52,1970-01-01 00:26:22.416000,74.869,79.817,80.272,74.869,76002.26692641
53,1970-01-01 00:26:22.502400,79.821,75.675,80.062,71.7,95403.39721367
54,1970-01-01 00:26:22.588800,75.598,71.043,76.321,69.501,92299.63900654
55,1970-01-01 00:26:22.675200,71.034,60.596,72.251,57.467,145786.11049637
56,1970-01-01 00:26:22.761600,60.645,61.773,65.04,57.266,90800.13323814
57,1970-01-01 00:26:22.848000,61.808,60.162,63.41,56.703,94377.64454827
58,1970-01-01 00:26:22.934400,60.174,58.285,61.755,58.105,33139.67747445
59,1970-01-01 00:26:23.020800,58.248,57.937,60.499,56.339,49022.62996033
60,1970-01-01 00:26:23.107200,57.846,61.544,62.474,57.421,50119.20220022
61,1970-01-01 00:26:23.193600,61.565,61.143,62.62,59.732,38124.58013063
62,1970-01-01 00:26:23.280000,61.294,60.5,62.0,59.079,22350.04268607
63,1970-01-01 00:26:23.366400,60.519,62.333,63.499,60.519,37403.52209348
64,1970-01-01 00:26:23.452800,62.266,63.499,63.989,61.46,21025.44965998
65,1970-01-01 00:26:23.539200,63.499,60.717,64.115,60.228,36604.51483971
66,1970-01-01 00:26:23.625600,60.589,51.196,60.589,50.772,131662.40162833
67,1970-01-01 00:26:23.712000,51.216,50.678,52.483,46.804,149887.24803996
68,1970-01-01 00:26:23.798400,50.548,50.228,51.6,49.1,52742.28852906
69,1970-01-01 00:26:23.884800,50.352,48.814,50.932,45.7,63234.30295847
70,1970-01-01 00:26:23.971200,48.814,30.14,49.01,28.397,686057.43688904
71,1970-01-01 00:26:24.057600,29.926,37.849,40.641,24.85,420530.70845564
72,1970-01-01 00:26:24.144000,37.74,34.665,37.97,34.04,105008.62563196
73,1970-01-01 00:26:24.230400,34.618,36.582,39.165,34.338,100626.4249583
74,1970-01-01 00:26:24.316800,36.5,33.489,36.559,29.335,164124.79874861
75,1970-01-01 00:26:24.403200,33.404,34.22,36.25,32.647,86061.43854028
76,1970-01-01 00:26:24.489600,34.22,34.853,34.934,32.424,52431.72726341
77,1970-01-01 00:26:24.576000,34.854,39.033,40.96,34.073,134678.02016985
78,1970-01-01 00:26:24.662400,39.049,38.089,43.803,33.908,189415.50201763
79,1970-01-01 00:26:24.748800,38.237,38.435,39.899,36.275,43934.46614001
80,1970-01-01 00:26:24.835200,38.464,35.441,39.754,34.832,66001.66511941
81,1970-01-01 00:26:24.921600,35.471,39.053,40.156,34.592,76559.36346977
82,1970-01-01 00:26:25.008000,39.082,40.715,41.142,38.371,48045.08515225
83,1970-01-01 00:26:25.094400,40.702,39.262,41.232,38.016,49843.34202535
84,1970-01-01 00:26:25.180800,39.319,40.504,40.569,38.507,30700.46610767
85,1970-01-01 00:26:25.267200,40.516,38.003,41.393,37.671,52702.51952476
86,1970-01-01 00:26:25.353600,38.037,38.983,39.586,36.65,52468.21306724
87,1970-01-01 00:26:25.440000,38.907,37.247,39.205,37.105,33164.0151626
88,1970-01-01 00:26:25.526400,37.195,38.961,39.8,37.195,31598.15306313
89,1970-01-01 00:26:25.612800,39.032,39.127,39.448,38.452,16912.20040367
90,1970-01-01 00:26:25.699200,39.177,39.398,39.706,37.169,33214.68032741
91,1970-01-01 00:26:25.785600,39.478,40.019,43.351,39.252,94768.52884607
92,1970-01-01 00:26:25.872000,40.033,40.536,41.343,39.751,30529.41897173
93,1970-01-01 00:26:25.958400,40.549,40.867,41.312,40.0,17263.52558802
94,1970-01-01 00:26:26.044800,40.876,40.388,41.142,39.972,10814.29594112
95,1970-01-01 00:26:26.131200,40.401,45.159,45.159,40.298,54458.85927029
96,1970-01-01 00:26:26.217600,45.113,44.885,47.686,43.764,65159.44396907
97,1970-01-01 00:26:26.304000,44.876,46.583,47.249,44.359,33121.34250467
98,1970-01-01 00:26:26.390400,46.625,46.322,46.869,44.742,36766.8454976
99,1970-01-01 00:26:26.476800,46.318,42.293,46.46,40.9,94853.23709057
100,1970-01-01 00:26:26.563200,42.341,42.571,43.214,41.5,19227.28435374
101,1970-01-01 00:26:26.649600,42.57,42.11,43.819,41.907,29175.53478057
102,1970-01-01 00:26:26.736000,42.039,41.251,42.039,39.5,52931.57016049
103,1970-01-01 00:26:26.822400,41.254,41.229,41.92,40.558,21180.58350356
104,1970-01-01 00:26:26.908800,41.219,39.304,41.778,39.159,21840.14970048
105,1970-01-01 00:26:26.995200,39.244,42.58,44.189,37.938,72660.98808199
106,1970-01-01 00:26:27.081600,42.58,42.28,43.085,41.68,17730.05174669
107,1970-01-01 00:26:27.168000,42.292,44.184,44.557,42.101,23490.34321601
108,1970-01-01 00:26:27.254400,44.268,42.297,44.448,41.415,35730.27072635
109,1970-01-01 00:26:27.340800,42.32,40.328,43.378,39.572,42151.74291564
110,1970-01-01 00:26:27.427200,40.297,40.669,41.379,40.12,20611.95008339
111,1970-01-01 00:26:27.513600,40.622,41.905,42.459,40.308,25799.46444618
112,1970-01-01 00:26:27.600000,41.893,43.078,44.18,41.008,43070.4661315
113,1970-01-01 00:26:27.686400,43.057,44.469,45.11,42.963,57093.03668281
114,1970-01-01 00:26:27.772800,44.583,44.411,45.642,43.908,37333.86954209
115,1970-01-01 00:26:27.859200,44.403,44.579,45.358,43.777,30037.51346384
116,1970-01-01 00:26:27.945600,44.582,44.464,45.2,43.155,30466.10577625
117,1970-01-01 00:26:28.032000,44.53,45.781,46.119,43.403,32750.37811177
118,1970-01-01 00:26:28.118400,45.761,48.791,50.083,45.588,117679.50681121
119,1970-01-01 00:26:28.204800,48.822,46.39,50.736,45.666,108846.04471159
120,1970-01-01 00:26:28.291200,46.427,47.095,48.358,46.37,20799.73127492
121,1970-01-01 00:26:28.377600,47.001,49.205,49.602,46.698,39315.6481334
122,1970-01-01 00:26:28.464000,49.259,48.032,49.998,46.6,37650.7380158
123,1970-01-01 00:26:28.550400,48.124,46.997,48.269,45.128,59714.97147692
124,1970-01-01 00:26:28.636800,47.002,46.431,47.778,45.584,24850.76030445
