,time,open,close,high,low,volume
46,2020-02-14,268.15598783,284.97,286.44,260.24,130117.33483361
47,2020-02-15,284.97642296,264.96,287.32,264.0,197548.32805214
48,2020-02-16,264.93,259.01,273.65,237.99,231276.08508394
49,2020-02-17,258.99,268.16,268.29,243.01,200752.22665998
50,2020-02-18,268.2,283.0,286.31,259.71,172286.39393654
51,2020-02-19,283.0,258.56,287.0,250.5,156048.02354171
52,2020-02-20,258.5,257.67,263.84,245.28,158343.12319603
53,2020-02-21,257.44234117,265.43,268.3,254.0,92520.85426171
54,2020-02-22,265.5,262.14,266.68,256.3,44424.68406338
55,2020-02-23,262.13,275.59,276.2,261.49,86210.13170145
56,2020-02-24,275.59,265.97,278.19,254.9,155451.67922356
57,2020-02-25,265.92,247.36,266.36796659,245.28,147039.40121693
58,2020-02-26,247.36,224.11,250.66,216.0,348764.94402416
59,2020-02-27,224.1,227.52,238.0,210.78,192402.74810861
60,2020-02-28,227.53193668,228.43,234.92,214.10191536,126065.322177
61,2020-02-29,227.82,218.15198312,233.5,218.1,69962.318602
62,2020-03-01,218.28,218.57,228.71,213.01,113803.98979263
63,2020-03-02,218.57,232.52,235.34,216.73,88651.30293806
64,2020-03-03,232.55,224.33,233.64,220.57064911,69684.60835439
65,2020-03-04,224.66,225.1,229.42,221.32,68442.93871295
66,2020-03-05,225.09940213,229.4,235.18,225.09940213,70893.36427499
67,2020-03-06,229.36,246.09,246.1,228.18,83030.90379619
68,2020-03-07,246.02,238.11,252.99,237.07,99313.66881187
69,2020-03-08,238.18,200.2,238.19036775,196.39233747,273879.64559058
70,2020-03-09,200.2,203.71900616,209.53,191.3,293862.92969159
71,2020-03-10,203.55,201.13,207.0,196.77294688,128416.13999024
72,2020-03-11,201.32,195.6,203.68975098,183.0,151046.88394249
73,2020-03-12,195.58,109.28,196.53,101.59,1630389.00995311
74,2020-03-13,109.29,135.34,145.0,89.662,900953.53318025
75,2020-03-14,135.22,123.54,135.73,121.61,138836.55191185
76,2020-03-15,123.38,124.25,134.69,120.49779228,153042.23006703
77,2020-03-16,124.34,111.76,124.5,101.2,336047.24181697
78,2020-03-17,111.81,116.3,122.0,110.0,125818.7377203
79,2020-03-18,116.3,118.64,119.07,110.47,104131.96747782
80,2020-03-19,118.66,136.5,143.28,115.77,325115.17575616
81,2020-03-20,136.49,133.51,153.72,115.64157956,354801.91513633
82,2020-03-21,133.52,132.84,137.71,126.0,113660.3803692
83,2020-03-22,132.75,122.3,137.21,121.0,119183.27941699
84,2020-03-23,122.29,136.48,138.23,119.58,168102.82175191
85,2020-03-24,136.45,138.84,143.83,133.08,110669.06019925
86,2020-03-25,138.76,136.16,142.73,131.71014281,81029.16923468
87,2020-03-26,136.15,138.76,139.89,133.01,50660.41588602
88,2020-03-27,138.76,131.23,142.08,129.7,85876.50733083
89,2020-03-28,131.2,131.23,133.26,125.0,102001.21906114
90,2020-03-29,131.24,124.76,132.19,123.85,82246.07359064
91,2020-03-30,124.78,132.25,135.68,124.52,85235.76571642
92,2020-03-31,132.32,133.2,135.5,130.63,33039.46852717
93,2020-04-01,133.12,136.45,137.64,129.22,62483.08456575
94,2020-04-02,136.46,141.8,150.50604113,135.85,154675.00243674
95,2020-04-03,141.8,141.58,147.0,138.01,58044.41556357
96,2020-04-04,141.59,144.53,146.56973818,139.17,46463.19878497
97,2020-04-05,144.62483934,142.98,146.24,140.65,38904.50336789
98,2020-04-06,142.95,171.38,172.06,142.94,201674.79031234
99,2020-04-07,171.39,164.89802109,176.0,162.42,169235.28099901
100,2020-04-08,164.89,173.16,174.6,163.73,90250.16436211
101,2020-04-09,173.29,170.0,173.68,165.13,67552.31005638
102,2020-04-10,170.00782246,158.11,170.2,152.62,544023.14871409
103,2020-04-11,158.1,158.7,161.5,154.37,61838.36488057
104,2020-04-12,158.69,159.03935858,166.06648933,155.4,78692.48028323
105,2020-04-13,158.92,156.64341733,159.28,149.45412997,109635.52891566
106,2020-04-14,156.64341733,158.54,161.98,155.35,69656.49033056
107,2020-04-15,158.55,153.0,161.4,152.35,60359.69640671
108,2020-04-16,153.00509048,172.5,175.29,148.59,195432.40943945
109,2020-04-17,172.54373879,171.27,175.24,168.75,82151.79826907
110,2020-04-18,171.24,187.87,189.89,171.14,115049.88316414
111,2020-04-19,187.86,180.59,188.73,176.82,96337.75627965
112,2020-04-20,180.44,170.58,186.74,166.64,200724.02792583
113,2020-04-21,170.51,170.79,174.74,168.25,67290.15425466
114,2020-04-22,170.7895667,183.0,184.34,170.05,97157.65074791
115,2020-04-23,182.99,185.83613412,194.86,178.4874003,153414.25267741
116,2020-04-24,185.83613412,187.68,189.99,185.5,61469.41185072
117,2020-04-25,187.71,194.26,198.0,185.99,114640.98691339
118,2020-04-26,194.12,197.5,199.68,192.53,87305.71648366
119,2020-04-27,197.4923796,196.63,198.98,189.60380563,96540.79000212
120,2020-04-28,196.63,196.55,197.76,192.06,54669.35314982
121,2020-04-29,196.63,215.3,218.67,196.46,196062.25849149
122,2020-04-30,215.31,206.39,226.82,201.91566271,226412.8639661
123,2020-05-01,206.34,211.69637142,217.73,206.34,86684.74409156
124,2020-05-02,211.6932216,214.12,215.61,210.32,42865.37646214
125,2020-05-03,214.09,209.91,219.51,204.11,100773.90897457
126,2020-05-04,209.87,206.73,210.7,195.0,130062.31696931
